movie_title,domestic_total_gross,release_date,runtime_(mins),rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
Brahmin Bulls,,2014-11-14 00:00:00,96,Unrated,Comedy / Drama,Barking Cow Media Group,,,N/A,,,,,
Brain Dead,1627955,1990-01-19 00:00:00,85,R,Horror Thriller,Concorde,,,N/A,,,,,
Brain Donors,918239,1992-04-17 00:00:00,79,PG,Comedy,Paramount,Dennis Dugan,,N/A,525,,,,
Brainscan,4352094,1994-04-22 00:00:00,94,R,Sci-Fi Horror,Triumph,,,N/A,"1,221",Frank Langella,Andrew Kevin Walker,,
Brainstorm,10219460,1983-09-30 00:00:00,106,PG,Unknown,MGM,,,N/A,498,Christopher Walken,,,James Horner
The Brainwashing of My Dad,7028,2016-03-18 00:00:00,90,Unrated,Documentary,JSenko,,,N/A,2,,,,
Brake,4876,2012-03-21 00:00:00,91,R,Thriller,IFC,,,N/A,2,Stephen Dorff,,,Brian Tyler
Bram Stoker's Dracula,82522790,1992-11-13 00:00:00,127,R,Period Horror,Columbia,,Michael Apted,$40 million,"2,491","Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeves,Monica Bellucci*,Cary Elwes*",,"Michael Ballhaus, ,(director of photography)",
Bran Nue Dae,113568,2010-09-10 00:00:00,85,PG-13,Musical,Freestyle Releasing,,,N/A,55,Geoffrey Rush,,,
Brand Upon the Brain!,263200,2007-05-09 00:00:00,95,Unrated,Drama,Vitagraph,,,N/A,7,,,,
Branded,353513,2012-09-07 00:00:00,106,R,Action,Roadside Attractions,,,N/A,307,,,,
The Brandon Teena Story,92113,1998-09-23 00:00:00,89,Unrated,Documentary,Zeitgeist,,,N/A,2,,,,
Brannigan,,1975-03-26 00:00:00,111,PG,Action,United Artists,Douglas Hickox,"Arthur Gardner,Jules Levy",N/A,,"John Wayne,Richard Attenborough,Judy Geeson,Mel Ferrer,John Vernon,Daniel Pilon","Christopher Trumbo,Michael Butler,William P. McGivern",Gerry Fisher,Dominic Frontiere
Brass Target,5011158,1978-12-22 00:00:00,111,PG,Unknown,MGM,,,N/A,334,,,,
The Brass Teapot,6997,2013-04-05 00:00:00,101,R,Fantasy Comedy,Magnolia,,,N/A,2,"Michael Angarano,Alexis Bledel,Juno Temple",,,
Brassed Off,2576331,1997-05-23 00:00:00,109,R,Music Drama,Miramax,,,N/A,231,Ewan McGregor,,,Trevor Jones
BRATZ,10010209,2007-08-03 00:00:00,110,PG,Comedy,Lionsgate,Sean McNamara,"Avi Arad,Steven Paul",N/A,"1,509","Nathalia Ramos,Janel Parrish,Logan Browning,Skyler Shaye,Chelsea Staub,Lainie Kazan,Jon Voight",Susan Estelle Jansen,Christian Sebaldt,
Brave,237283207,2012-06-22 00:00:00,100,PG,Animation,Buena Vista,,"Pete Docter, ,(executive),John Lasseter, ,(executive),Katherine Sarafian,Andrew Stanton, ,(executive)",$185 million,"4,164","Kelly Macdonald ,(Voice),Billy Connolly ,(Voice),Emma Thompson, ,(Voice),Julie Walters ,(Voice),Robbie Coltrane ,(Voice),Craig Ferguson ,(Voice)","Mark Andrews,Brenda Chapman,Irene Mecchi,Steve Purcell",,Patrick Doyle
A Brave Heart: The Lizzie Velasquez Story,,2015-09-25 00:00:00,78,PG-13,Documentary,Cinedigm Entertainment,Sarah Hirsh Bordo,Sarah Hirsh Bordo,N/A,,Lizzie Velasquez,Michael Campo,,
The Brave One,36793804,2007-09-14 00:00:00,122,R,Drama / Thriller,Warner Bros.,Neil Jordan,"Susan Downey,Dana Goldberg, ,(executive),Joel Silver",N/A,"2,837","Jodie Foster,Terrence Howard",,,Dario Marianelli
Braveheart,75609945,1995-05-24 00:00:00,177,R,Historical Epic,Paramount,Mel Gibson,,$72 million,"2,037","Mel Gibson,Brendan Gleeson,Brian Cox*",Randall Wallace,John Toll,James Horner
Brazil,9929135,1985-12-18 00:00:00,142,R,Unknown,Universal,Terry Gilliam,Arnon Milchan,N/A,173,"Jonathan Pryce,Robert DeNiro,Katherine Helmond,Ian Holm,Bob Hoskins,Michael Palin,Jim Broadbent*","Terry Gilliam,Tom Stoppard,Charles McKeown",Roger Pratt,Michael Kamen
