movie_title,domestic_total_gross,release_date,runtime_(mins),rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
Code of Silence,20345361,1985-05-03 00:00:00,101,R,Action,Orion Pictures,Andrew Davis,,N/A,"1,810",Chuck Norris,,,
Code Unknown,,2001-11-16 00:00:00,113,Unrated,Unknown,Leisure Time,Michael Haneke,,N/A,3,,Michael Haneke,,
Codebreaker,,2012-10-17 00:00:00,81,Unrated,Documentary,TODpix,,,N/A,,,,,
Coffee and Cigarettes,2198924,2004-05-14 00:00:00,95,R,Comedy,United Artists,Jim Jarmusch,,N/A,47,"Roberto Benigni,Cate Blanchett,Bill Murray,Steve Coogan,Alfred Molina",Jim Jarmusch,,
Coffee Date,4412,2006-11-10 00:00:00,94,Unrated,Comedy,Slowhand Cinema,Stewart Wade,,N/A,1,"Jonathan Bray,Wilson Cruz,Sally Kirkland,Jonathan Silverman",Stewart Wade,,
A Coffee in Berlin,150275,2014-06-13 00:00:00,83,Unrated,Foreign,Music Box Films,,,N/A,12,,,,
Cohen and Tate,64227,1989-01-27 00:00:00,85,R,Unknown,Hemdale,,,N/A,75,,,,
Coherence,102617,2014-06-20 00:00:00,89,Unrated,Sci-Fi,Oscilloscope Pictures,,,N/A,7,,,,
The Cokeville Miracle,1348456,2015-06-05 00:00:00,94,PG-13,Drama,Excel,,,N/A,51,,,,
Cold Around the Heart,5171,1997-11-07 00:00:00,96,R,Unknown,Fox,John Ridley,Dan Halsted,N/A,1,,John Ridley,,
Cold Comes the Night,16971,2014-01-10 00:00:00,90,R,Thriller,Samuel Goldwyn,,,N/A,21,"Alice Eve,Bryan Cranston",,,
Cold Comfort Farm,5682429,1996-05-10 00:00:00,105,PG,Period Comedy,Gramercy,,,N/A,6,"Kate Beckinsale,Ian McKellen,Rufus Sewell",,,
Cold Creek Manor,21386011,2003-09-19 00:00:00,118,R,Thriller,Buena Vista,,,N/A,"2,035","Dennis Quaid,Sharon Stone,Stephen Dorff,Juliette Lewis,Kristen Stewart",,Declan Quinn,
Cold Heaven,99219,1992-05-29 00:00:00,105,R,Unknown,Hemdale,,,N/A,,,,,
Cold in July,427418,2014-05-23 00:00:00,100,R,Drama / Thriller,IFC,,,N/A,73,"Michael C. Hall,Don Johnson,Sam Shepard",,,
The Cold Light of Day,3763583,2012-09-07 00:00:00,93,PG-13,Action Thriller,Lionsgate/Summit,,"Mark Canton, ,(executive),Marc D. Evans,Trevor Macy",N/A,"1,511","Henry Cavill,Bruce Willis,Sigourney Weaver",,,Lucas Vidal
Cold Mountain,95636509,2003-12-25 00:00:00,155,R,War Romance,Miramax,Anthony Minghella,"Albert Berger,Sydney Pollack,Ron Yerxa",$79 million,"2,802","Jude Law,Nicole Kidman,Renee Zellweger,Brendan Gleeson,Philip Seymour Hoffman*,Natalie Portman*,Giovanni Ribisi*,Donald Sutherland*,Ray Winstone*,Jena Malone*,Lucas Black*,Cillian Murphy*","Anthony Minghella, ,(screenplay),Charles Frazier ,(book)",,Gabriel Yared
Cold Souls,905209,2009-08-07 00:00:00,101,PG-13,Comedy / Drama,Samuel Goldwyn,,,N/A,52,"Paul Giamatti,Emily Watson,David Strathairn,Lauren Ambrose",,,
Cold Steel,285885,1987-12-11 00:00:00,91,R,Unknown,Cinetel,,,N/A,135,Sharon Stone,,,
Cold Weather,141358,2011-02-04 00:00:00,96,Unrated,Thriller,IFC,,,N/A,11,,,,
Coldblooded,16198,1995-09-15 00:00:00,92,R,Unknown,IRS Media,,,N/A,5,,,,
Coldwater,,2014-08-15 00:00:00,104,Not Yet Rated,Drama,Breaking Glass Pictures,,,N/A,,,,,
