movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score
50 First Dates,48,2004-02-13,152344173.24,2004-02-13,96.0,PG-13,Romantic Comedy,Sony / Columbia,Peter Segal,"Jack Giarraputo,Steve Golin,Daniel Lupi, ,(executive)",94500000.0,3612.0,"Adam Sandler,Drew Barrymore,Rob Schneider,Kevin James*",George Wing,,Teddy Castellucci,2,2004,1.26,42177.2351163,117009771.082,105609551.215
50/50,72,2011-09-30,37115043.52,2011-09-30,99.0,R,Comedy / Drama,Summit Entertainment,Jonathan Levine,"Evan Goldberg,Will Reiser, ,(executive),Seth Rogen",8480000.0,2479.0,"Seth Rogen,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,Anjelica Huston",Will Reiser,,Michael Giacchino,9,2011,1.06,14971.780363,132745412.253,129190161.982
8 Mile,77,2002-11-08,154111189.32,2002-11-08,118.0,R,Music Drama,Universal,Curtis Hanson,Brian Grazer,54120000.0,2585.0,"Eminem,Brittany Murphy,Kim Basinger,Anthony Mackie*",,,,11,2002,1.32,59617.4813617,72313411.816,105057496.436
9,60,2009-09-09,35242382.34,2009-09-09,79.0,PG-13,Animation,Focus Features,,"Timur Bekmambetov,Tim Burton",33300000.0,2060.0,"Elijah Wood, ,(Voice),Jennifer Connelly, ,(Voice),Martin Landau ,(Voice),Christopher Plummer, ,(Voice),John C. Reilly ,(Voice)",,,Deborah Lurie,9,2009,1.11,17107.9525922,197437328.808,117583422.333
A Beautiful Mind,72,2001-12-21,228794736.94,2001-12-21,136.0,PG-13,Period Drama,Universal,Ron Howard,"Brian Grazer,Ron Howard",77720000.0,2250.0,"Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,Paul Bettany,Adam Goldberg,Josh Lucas",Akiva Goldsman,Roger Deakins,James Horner,12,2001,1.34,101686.549751,216540909.0,149941103.737
A Cinderella Story,25,2004-07-16,64812100.5,2004-07-16,96.0,PG,Family Comedy,Warner Bros.,,"Hunt Lowry,Dylan Sellers,Casey La Scalla",23940000.0,2625.0,"Hilary Duff,Jennifer Coolidge,Chad Michael Murray",,,Christophe Beck,7,2004,1.26,24690.324,98593551.47,56117188.7129
A Civil Action,68,1998-12-25,56709981.0,1998-12-25,115.0,PG-13,Drama / Thriller,Buena Vista,Steven Zaillian,Scott Rudin,75000000.0,2319.0,"John Travolta,Robert Duvall,Tony Shalhoub,William H. Macy,John Lithgow,Kathleen Quinlan,James Gandolfini*,Kathy Bates*, ,(Cameo),Sydney Pollack*",Steven Zaillian,,Danny Elfman,12,1998,1.0,24454.4980595,72243559.6667,54493549.4
A Good Day to Die Hard,28,2013-02-14,68696181.96,2013-02-14,97.0,R,Action,Fox,John Moore,"Wyck Godfrey,Jason Keller, ,(executive),Bruce Willis, ,(executive),Alex Young",93840000.0,3555.0,"Aldis Hodge,Bruce Willis,Jai Courtney,Sebastian Koch,Cole Hauser*,Mary Elizabeth Winstead*",Skip Woods,,Marco Beltrami,2,2013,1.02,19323.8205232,83273565.44,151732040.444
A Good Year,47,2006-11-10,8801974.0,2006-11-10,118.0,PG-13,Romance,Fox,Ridley Scott,Ridley Scott,41300000.0,2067.0,"Russell Crowe,Albert Finney,Abbie Cornish,Marion Cotillard,Valeria Bruni-Tedeschi,Didier Bourdon,Tom Hollander,Freddie Highmore",Marc Klein,,Marc Streitenfeld,11,2006,1.18,4258.33284954,277433101.13,80831869.42
A Haunted House,20,2013-01-11,40842516.66,2013-01-11,80.0,R,Comedy,Open Road Films,Michael Tiddes,"Rick Alvarez,Brian Kavanaugh-Jones, ,(executive),Marlon Wayans",2550000.0,2160.0,"Marlon Wayans,Cedric the Entertainer,Nick Swardson,David Koechner","Rick Alvarez,Marlon Wayans",,,1,2013,1.02,18908.5725278,92131337.4638,62311390.3367
